Grocery store brand,Area,Apple 1 brand,Apple 1 price,Apple 2 brand,Apple 2 price,Apple 3 brand,Apple 3 price,Banana 1 brand,Banana 1 price ,Banana 2 brand,Banana 2 price ,Banana 3 brand,Banana 3 price ,Tomatoes 1 brand,Tomatoes 1 price ,Tomatoes 2 brand,Tomatoes 2 price,Tomatoes 3 brand,Tomatoes 3 price ,Potatos 1 brand,Potatos 1 price,Potatos 2 brand,Potatos 2 price ,Potatos 3 brand,Potatos 3 price ,Flour 1 brand,Flour 1 price ,Flour 2 brand,Flour 2 price ,Flour 3 brand,Flour 3 price ,Rice 1 brand,Rice 1 price ,Rice 2 brand,Rice 2 price ,Rice 3 brand,Rice 3 price ,Milk 1 brand,Milk 1 price ,Milk 2 brand,Milk 2 price ,Milk 3 brand,Milk 3 price ,Butter 1 brand,Butter  1 price ,Butter 2 brand,Butter  2 price ,Butter  3 brand,Butter 3 price ,Eggs 1 brand,Eggs 1 price ,Eggs  2 brand,Eggs  2 price ,Eggs 3 brand,Eggs  3 price ,Chicken 1 brand,Chicken  1 price ,Chicken  2 brand,Chicken  2 price ,Chicken  3 brand,Chicken  3 price 
1,4,no brand,2.49,no brand,1.89,no brand,2.49,Lidl Fairglobe,1.69,no brand,0.99,NA,NA,Barther Tomaten,3.68,no brand,2.19,no brand,4.58,Solanum,0.68,Solanum,0.72,NA,NA,Belbake,0.95,NA,NA,NA,NA,Golden Sun,1.55,Golden Sun,0.98,Golden Sun,1.99,Milbona,0.69,Hemme Milch,1.15,B_renmarke,1.25,Milbona,3.98,Kerrygold,4.78,Mark Brandenburg,4.38,no brand,1.55,no brand,2.03,no brand,2.18,Landjunker,6.48,NA,NA,NA,NA
4,4,Kanzi,1.99,Demeter,3.62,Edeka,1.99,Gut & Gunstig,1.09,Demeter,1.99,NA,NA,Edeka,8,Edeka Bio,4.98,Bauers Best,5.98,Edeka,1.99,KÙsten Knollen,1.2,NA,NA,Edeka,0.99,Schapfen MÙhle,1.99,Gut & Gunstig,0.99,Edeka,1.78,Oryza,3.18,Wurzener,1.98,Weihenstephan,1.39,Gut & Gunstig,0.69,B_ren Marke,1.25,Gut & Gunstig,3.6,Kerrygold,4.8,Edeka,4.8,Brehm,5.58,Edeka,4.98,Luisenhof,2.38,Fair Mast,15.99,Stolle,9.99,Biofino,25.99
3,3,No brand,2.72,No brand,1.49,no brand,2.49,Gutbio,1.69,no brand,0.99,NA,NA,Gutbio,4.38,no brand,1.59,no brand,3.68,Gutbio,1.1,no brand,1.39,no brand,0.64,Gold_hren,0.35,NA,NA,NA,NA,Bon-Ri,1.99,Bon-Ri,1.89,NA,NA,Gutbio,1.05,Milsani,0.69,Meierkamp,0.99,Gutbio,4.78,Milsani,3.9,Kerrygold,4.38,Gutbio,3.3,Hofland,1.55,Landkost,2.38,Meine Metzgerei,6.48,NA,NA,NA,NA
4,1,Elstar,1.99,bio demeter,3.62,Granny Smith,1.99,No brand,1.09,Edeka,1.99,Bio,1.99,Saveol,2.99,Aromatomaten,5.98,NA,NA,Lilly,1.99,Madeira,1.99,NA,NA,Alnatura,0.99,NA,NA,NA,NA,Bio Zentrale,5.58,Bio Zentrale,7.98,Alnatura,4.39,Edeka,0.69,Weihenstephan,1.39,Arla,1.39,Becel,3.18,Kerrygold,3.58,Arla,4.38,Edeka,1.55,Bio Edeka,4.79,Luisenhof,2.63,Gutbio,8.09,NA,NA,NA,NA
3,1,Pink Lady,2.59,Golden Deli,1.49,rot Honeycrunch,2.74,no brand,0.99,Fairtrade Bio,1.65,NA,NA,no brand,1.59,Mini-Roma,5.3,Cherry,2.4,Kleine,1.49,Agata/Gala,0.72,Bio,1.2,no brand,0.3,NA,NA,NA,NA,Bon-Ri,0.89,NA,NA,NA,NA,Haltbare,0.7,Meierkamp,0.99,NA,NA,O'grady,4,Milsani,3.4,Kerrygold,4.8,Bodenhaltung,1.56,Freilandhaltung,2.04,Bio,3.36,no brand,20,NA,NA,NA,NA
3,5,Evalina,1.79,Cripps Pink,2.79,Braeburn,0.79,no brand,0.99,Fairtrade Bio,1.65,NA,NA,no brand,1.59,Mini-Roma,5.3,Cherry,2.4,Kleine,1.49,Agata/Gala,0.72,Bio,1.2,no brand,0.3,NA,NA,NA,NA,Bon-Ri,0.89,NA,NA,NA,NA,Haltbare,0.7,Meierkamp,0.99,NA,NA,O'grady,4,President,4.4,Kerrygold,4.8,Bodenhaltung,1.56,Freilandhaltung,2.04,Bio,3.36,no brand,20,NA,NA,NA,NA
1,5,Jonagored,0.66,Gala,1.4,Bio Apfel rot,3.13,Bananen Cose,1.09,Faitrade Bio Bananen,1.69,NA,NA,Dattel cherrytomaten,3.98,Stauchtomaten,2.39,Romatomaten,3.38,Speise-kartoffeln vorwiegend festkochend,0.65,Speise-kartoffeln festkochend,0.73,Bio speise-kartoffeln,1.26,Weizenmehl,0.35,Bio weizenmehl,0.95,NA,NA,Golden Sun Thai Jasmin,1.79,Golden Sun Basmati,1.99,Spitzen-langkornreis,0.98,Milbona Bio frische vollmilch,1.05,Milbona Frische vollmilch,0.69,Milbona frische weide-vollmilch,0.89,Landliebe Butter,3.8,Rama,3.95,Beste Butter,4.58,Bio Eier,3.3,Eier aus bondenhaltung,1.55,Eier aus freilandhaltung,2.03,Landjunker,6.48,NA,NA,NA,NA
2,7,Pink Lady Cripps Pink,4.14,REWE Regional Tafelapfel Elstar,1.99,REWE Regional Rote Tafelapfel Shampion,1.99,No Brand,1.19,Chiquita Bananen,1.69,REWE Beste Wahl Bananen,1.99,REWE Regional romatomaten,2.99,Rispentomaten,2.29,REWE Regional rispentomaten,2.79,REWE Beste Wahl speiskartoffeln festkochend,0.92,REWE Beste Wahl speiskartoffeln vorm. fest.,0.92,REWE Bio speiskartoffeln fest.,1.33,Aurora,2.19,REWE Bio,2.29,NA,NA,ORYZA Basmati,10,Golden Temple Jasmin Reis,1.89,NA,NA,REWE Bio Fr. voll,1.15,REWE Weidem GVO Frei,0.89,Landliebe,1.59,Landliebe,3.6,Weidebutter,3.9,Ja Butter,3.6,Spitz & Bube,2.78,Freilandhaltung Kontholliert Durch Kat,2.98,Beelitzer Frischei Bodenhaltung,2.23,Wilhelm Brandeburg,9.99,NA,NA,NA,NA
4,5,no brand,2.93,NA,NA,NA,NA,Gut & Gunstig,1.09,Edeka Bio,1.99,NA,NA,no brand,1.99,NA,NA,NA,NA,Demeter,1.99,Edeka Bio,1.19,NA,NA,Gut & Gunstig,0.35,Diamant,1.38,Aurora,1.69,Uncle Ben's,4.98,Oryza,4.99,Gut & Gunstig,1.99,Brandenburg,1.29,Gut & Gunstig,0.69,Barenmarke,1.25,Gut & Gunstig,3.58,Kerrygold,4.78,Edeka Bio,4.78,Luisenhof,2.99,Edeka Bio,4.79,Gut & Gunstig,1.55,Friki,12.99,Gut & Gunstig,6.48,Fairmast,15.99
4,6,no brand,2.93,NA,NA,NA,NA,Gut & Gunstig,1.09,Edeka Bio,1.99,NA,NA,no brand,1.99,NA,NA,NA,NA,Demeter,1.99,Edeka Bio,1.19,NA,NA,Gut & Gunstig,0.35,Diamant,0.99,Aurora,1.69,Uncle Ben's,4.98,Oryza,4.99,Gut & Gunstig,0.89,Brandenburg,1.39,Gut & Gunstig,0.69,Barenmarke,1.25,Gut & Gunstig,3.58,Kerrygold,4.78,Edeka Bio,4.78,Luisenhof,2.99,Edeka Bio,4.79,Gut & Gunstig,1.55,Friki,12.99,Gut & Gunstig,6.48,Fairmast,15.99
3,3,Pink Lady,2.99,Rot,2.39,Golden Decicious,1.95,no brand,1.09,Bio Fairtrade,1.69,NA,NA,no brand,1.59,Bio,1.99,NA,NA,Bio,1.69,no brand,1.59,NA,NA,Gut Bio Bio,1.75,Gut Bio,0.95,NA,NA,Bon Ri Parboiled,0.89,NA,NA,NA,NA,Bio Frische Land Milch,1.05,Milsani,0.7,Alpenmilch,0.96,Ogrady,3.78,Milsani,3.38,Kerrygold,4.38,Bodenhaltung,1.55,Freilandhaltung,2.03,NA,NA,Meine Metzgeri,6.48,NA,NA,NA,NA
4,7,Royal Gala,1.99,Kanzi,1.99,Pink Lady,2.93,Edeka,1.99,no brand,1.09,NA,NA,Rispentomaten,1.99,Cherry tomaten,3.39,NA,NA,Gut & Gunstig,0.56,Bio,1.19,Bauers Beste,0.92,Gut & Gunstig,0.35,Diamant,0.99,Aurora,1.69,Uncle Ben's,3.98,Gut & Gunstig,1.89,NA,NA,Gut & Gunstig,0.69,Edeka Bio,1.09,Minus L,1.29,Kerrygold,4.78,Gut & Gunstig,3.58,Edeka,4.38,Luisenhof,2.79,Edeka Bio,4.98,Gut & Gunstig,2.03,Gut & Gunstig,6.98,Friki,12.99,NA,NA
3,LICHTENBERG,Evelina,1.79,Honey crunch,2.19,Pink lady,2.59,Gut bio,1.65,No brand,0.99,No brand,1.69,Rispentomaten,2.49,Aktion,1.59,NA,NA,Mehlingkochend,1.79,No brand,1.79,NA,NA,Goldahren,0.39,NA,NA,NA,NA,Bonri,1.89,No brand,1.99,NA,NA,Gut bio,0.95,Meierkamp,0.96,No brand,0.99,Kerrygold,4.78,Ogrady,3.98,Milsani,3.38,Gut bio,3.96,Hofland,2.28,No brand,1.91,Meine metzgerei,6.29,NA,NA,NA,NA
2,4,REWE best wahl Elstar,1.99,Gala Royal,1.83,REWE best wahl Italian Granny Smith,1.99,REWE Bio Bananen,1.79,REWE best wahl bananen,1.49,No brand,1.09,REWE bio cherry rispentomaten,6.54,REWE rispentomaten,2.19,REWE Cocktail-rispentomaten,5.18,REWE festkochend,2.49,REWE mahligkochend,0.88,REWE bio,1.53,REWE,2.29,Borchers,8.73,Aurora,1.59,Uncle Ben's,3.98,Davita,5.38,Ja!,1.99,REWE bio,1.09,Mark Brandenburg,1.15,REWE best wahl,0.89,Weihenstephan,6.58,President,5.98,Kerrygold,4.78,Ja!,1.55,REWE bio,4.9,REWE Best Wahl,1.79,Wilheim Brandenburg,9.98,REWE bio,29.9,NA,NA
3,2,No brand,2.72,Pink Lady,2.79,No brand,2.39,Gut Bio,1.69,No brand,1.09,NA,NA,Gut Bio,3.98,Bio Rispentomaten,1.99,No brand,2.49,Gut Bio,1.1,No brand,1.59,NA,NA,Goldahren,0.39,Gut Bio dinkelmehl,1.8,Gut Bio weizenmehl,0.95,Bon-Ri Jasmin,1.89,Bon-Ri Basmati,1.99,Bon-Ri parboiled,0.89,Milsani,0.7,Gut Bio,1.05,Meierkamp,0.96,Gut Bio,4.58,O'Grady,3.98,Milsani,3.38,Gut Bio,3.3,Hofland Freidlandhaltung,2.03,Hofland Bodenhaltung,1.56,Metzgerei putenbrustfilet,6.29,Metzgerei hahnchenbrustfilet,6.48,NA,NA
2,1,REWE Bio,1.79,Rewe Regional,1.99,Rewe Beste Wahl,1.93,REWE Bio,1.99,Chiquita,1.15,NA,NA,no brand,2.25,REWE Regional,4.29,Cherry REWE Regional,6.54,REWE Bio,1.53,REWE Beste Wahl,0.92,no brand,0.5,ja!,1.99,Diamant,0.69,Kathi,0.79,ja!,1.99,Oryza,4.99,Devita,3.49,Baren Marke,1.25,RWEW Bio,1.09,ja!,0.69,Landliebe,3.58,Meggle,4.98,ja!,3.58,REWE Baste Wahl,2.35,ja!,1.548,NA,NA,WB Wilhwlm brandenburg,9.98,Loue,19.9,RERE Bio,29.9
1,3,Bioland,2.7,Ambrosia,2.49,no brand,1.89,Tuscan,0.99,Fairglobe bio,1.69,NA,NA,no brand,1.79,Bioland,3.98,Barther Tomaten,3.68,Bio organic,1.19,no brand,0.73,Parmentine,1.32,Balbake,0.35,Balbake bio,0.95,NA,NA,Golden Sun,0.89,NA,NA,NA,NA,Milbona bio organic,1.09,Milbona,0.7,Baren Marke,1.25,Beste Butter,3.98,Milbona bio organic,4.58,Kerrygold,4.78,Bio,2.75,Frei,1.69,no brand,1.29,Landjunker,5.29,Landjunker,7.38,NA,NA
